,budget,revenue,vote_average,runtime,popularity
count,4716.0,4716.0,4716.0,4716.0,4716.0
mean,29574781.597752333,83777616.79346904,6.178180661577609,107.803647158609,21.884362201653943
std,40906754.53044158,163965694.4307805,0.9602497013181068,20.713037975070353,31.976353520496115
min,0.0,0.0,0.5,14.0,0.000372
25%,1000000.0,0.0,5.6,94.0,5.062292
50%,15000000.0,20362477.5,6.2,104.0,13.419173
75%,40000000.0,95052518.5,6.8,118.0,28.80101625
max,380000000.0,2787965087.0,10.0,338.0,875.581305
